ChoiceValue,LabelEn,LabelSw,RegionValue,DistrictValue,WardValue,SortOrder
544,Endang’u Magharibi,Endang’u Magharibi,1,3,59,544
545,Umbangw',Umbangw',1,3,59,545
546,Darang,Darang,1,3,59,546
547,Tloma Awaki,Tloma Awaki,1,3,59,547
548,Laja,Laja,1,3,59,548
549,Antsi,Antsi,1,3,60,549
550,Ayloi,Ayloi,1,3,60,550
551,Gehandu,Gehandu,1,3,60,551
552,Gahabiya,Gahabiya,1,3,60,552
553,Ayabea,Ayabea,1,3,60,553
554,Antsi-Gamdi,Antsi-Gamdi,1,3,60,554
555,Ayalabe,Ayalabe,1,3,60,555
556,Krash,Krash,1,3,60,556
557,Senta,Senta,1,3,60,557
558,Kreta,Kreta,1,3,60,558
559,Garantli,Garantli,1,3,60,559
560,Ayaraat,Ayaraat,1,3,61,560
561,Endamarariek,Endamarariek,1,3,61,561
562,Aslin,Aslin,1,3,61,562
563,Baghayo,Baghayo,1,3,61,563
564,Antsi,Antsi,1,3,61,564
565,Tloma,Tloma,1,3,61,565
566,Shangit,Shangit,1,3,61,566
567,Manusay,Manusay,1,3,61,567
568,Shangit,Shangit,1,3,61,568
569,Endallah,Endallah,1,3,61,569
570,Masabeda,Masabeda,1,3,61,570
571,Kinihhe,Kinihhe,1,3,61,571
572,Fitsa,Fitsa,1,3,61,572
573,Hambal,Hambal,1,3,61,573
574,Kwandal,Kwandal,1,3,61,574
575,Gendaa,Gendaa,1,3,61,575
576,Garanthi,Garanthi,1,3,61,576
577,Antsi,Antsi,1,3,61,577
578,Mahhahha,Mahhahha,1,3,61,578
579,Kinihhe,Kinihhe,1,3,61,579
580,Amafala,Amafala,1,3,61,580
581,Gwandumehhi,Gwandumehhi,1,3,61,581
582,Baray ‘A’,Baray ‘A’,1,3,61,582
583,Tiita,Tiita,1,3,61,583
584,G/Tlawi,G/Tlawi,1,3,61,584
585,Manusay,Manusay,1,3,61,585
586,Tla’a,Tla’a,1,3,61,586
587,Antsa,Antsa,1,3,61,587
588,Slahhamo,Slahhamo,1,3,61,588
589,Mibuyu Miwili,Mibuyu Miwili,1,3,61,589
590,Gwandumehhi,Gwandumehhi,1,3,62,590
591,Lambo Kaskazini,Lambo Kaskazini,1,3,62,591
592,Mlima Nyoka,Mlima Nyoka,1,3,62,592
593,Mlima Giture,Mlima Giture,1,3,62,593
594,Gendaa,Gendaa,1,3,62,594
595,Naray,Naray,1,3,62,595
596,Titiwi,Titiwi,1,3,62,596
597,Masabeda,Masabeda,1,3,62,597
598,Sekondari,Sekondari,1,3,62,598
599,Kati,Kati,1,3,62,599
